Time,Subtitle,Human Translation
2s,THIS JOB IS EATING ME ALIVE.,이 일은 나를 좀먹는다
4s,I CAN'T BREATHE ANYMORE.,더는 숨을 쉴 수가 없어
6s,"I SPENT ALL THESE YEARS TRYING TO BE THE GOOD GUY,","좋은 사람이 되기 위해
평생 노력했지"
9s,THE MAN IN THE WHITE HAT.,영웅이 되기 위해 말이야
11s,I'M NOT BECOMING LIKE THEM.,이젠 그러고 싶지 않아
14s,I AM THEM.,벌써 영웅이니까
16s,"HEY! WHAT ARE YOU DOING, WEIRDO?","벌써 영웅이니까 야! 뭐해, 미친놈아?"
19s,I'M DOING THE BEST SPEECH FROM DONNIE BRASCO.,"혼자 ‘도니 브래스코’ 명장면
연기하고 있지"
21s,"OR ACTUALLY, TEN OF ME ARE DOING THE BEST SPEECH FROM DONNIE BRASCO.","10개의 내 분신들이
연기하고 있어"
25s,WHAT'S UP?,안녕?
27s,"GET IT TOGETHER, MAN. OKAY?","정신 좀 차려라, 응?"
29s,SO THE STORE WAS HIT ABOUT TWO HOURS AGO.,가게가 2시간 전에 털렸고
31s,"THEY TOOK MOSTLY TABLETS, LAPTOPS, AND CAMERAS.","대부분 태블릿, 노트북
카메라를 가져갔네요"
36s,[music stops] SORRY.,미안
38s,"I'D LIKE A LIST OF ALL YOUR EMPLOYEES, WHOEVER HAD ACCESS TO THE STORE.","출입 가능한
모든 직원 명단이 필요해요"
43s,I'D ALSO LIKE TO APOLOGIZE FOR MY PARTNER.,"그리고 제 파트너
사과드려요"
45s,HIS PARENTS DIDN'T GIVE HIM ENOUGH ATTENTION.,가정교육이 부족했거든요
47s,"UH, DETECTIVE... I ALREADY SOLVED THE CASE.","거기 형사
벌써 사건 해결했어"
49s,"WE'RE LOOKING FOR THREE WHITE MALES, ONE OF WHOM HAS SLEEVE TATS ON BOTH ARMS.","백인 남자 셋에, 하나는
양팔에 문신 토시를 끼었네"
53s,AND HOW DO YOU KNOW THAT?,어떻게 알아?
54s,I HAD AN INFORMANT ON THE INSIDE.,내부 정보원을 심었지
